RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S43,83,Ascending Ring Crossing,2008-250T00:17,Sep06,19.779
S43,84,Descending Ring Crossing,2008-254T08:21,Sep10,3.963
S43,84,Ascending Ring Crossing,2008-257T09:14,Sep13,19.782
S44,85,Descending Ring Crossing,2008-261T17:11,Sep17,3.962
S44,85,Ascending Ring Crossing,2008-264T18:10,Sep20,19.79
S44,86,Descending Ring Crossing,2008-269T02:00,Sep25,3.963
S44,86,Ascending Ring Crossing,2008-272T03:06,Sep28,19.795
S44,87,Descending Ring Crossing,2008-276T10:51,Oct02,3.964
S44,87,Ascending Ring Crossing,2008-279T11:51,Oct05,19.753
S44,88,Descending Ring Crossing,2008-283T19:07,Oct09,3.964
S44,88,Ascending Ring Crossing,2008-286T20:06,Oct12,19.731
S44,89,Descending Ring Crossing,2008-291T03:01,Oct17,3.956
S45,89,Ascending Ring Crossing,2008-294T03:50,Oct20,19.665
S45,90,Descending Ring Crossing,2008-298T10:04,Oct24,3.965
S45,90,Ascending Ring Crossing,2008-301T11:03,Oct27,19.677
S45,91,Descending Ring Crossing,2008-305T17:15,Oct31,3.965
S45,91,Ascending Ring Crossing,2008-308T18:08,Nov03,19.688
S45,92,Descending Ring Crossing,2008-313T21:16,Nov08,4.328
S45,92,Ascending Ring Crossing,2008-316T16:48,Nov11,19.821
S45,93,Descending Ring Crossing,2008-321T21:08,Nov16,4.333
S45,93,Ascending Ring Crossing,2008-324T16:32,Nov19,19.787
S45,94,Descending Ring Crossing,2008-329T08:42,Nov24,5.245
S46,94,Ascending Ring Crossing,2008-332T15:47,Nov27,19.788
S46,95,Descending Ring Crossing,2008-337T07:58,Dec02,5.245
S46,95,Ascending Ring Crossing,2008-340T14:57,Dec05,19.759
S46,96,Descending Ring Crossing,2008-344T17:52,Dec09,5.762
S46,96,Ascending Ring Crossing,2008-348T14:25,Dec13,19.729
S46,97,Descending Ring Crossing,2008-352T17:10,Dec17,5.768
S46,98,Ascending Ring Crossing,2008-356T13:34,Dec21,19.713
S46,98,Descending Ring Crossing,2008-361T05:55,Dec26,9.098
S46,99,Ascending Ring Crossing,2008-366T03:15,Dec31,19.721
S46,99,Descending Ring Crossing,2009-004T19:44,Jan04,9.102
S47,100,Ascending Ring Crossing,2009-009T17:05,Jan09,19.715
S47,100,Descending Ring Crossing,2009-014T09:29,Jan14,9.101
S47,101,Ascending Ring Crossing,2009-019T06:52,Jan19,19.715
S47,101,Descending Ring Crossing,2009-023T23:14,Jan23,9.103
S47,102,Ascending Ring Crossing,2009-028T20:25,Jan28,19.663
S47,102,Descending Ring Crossing,2009-033T12:23,Feb02,9.098
S47,102,Ascending Ring Crossing,2009-038T09:20,Feb07,19.671
S47,103,Descending Ring Crossing,2009-044T17:37,Feb13,13.647
S48,103,Ascending Ring Crossing,2009-050T07:52,Feb19,19.669
S48,104,Descending Ring Crossing,2009-056T16:12,Feb25,13.657
S48,104,Ascending Ring Crossing,2009-062T06:40,Mar03,19.686
S48,105,Descending Ring Crossing,2009-068T15:08,Mar09,13.659
S48,105,Ascending Ring Crossing,2009-074T05:57,Mar15,19.737
S48,106,Descending Ring Crossing,2009-080T14:37,Mar21,13.646
S49,107,Ascending Ring Crossing,2009-086T05:10,Mar27,19.722
