Cassini Tour of Events Summary,,,,,,,
Periapse Parameters,,,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,,,
"Latitude = planetocentric latitude, the phase is the angle formed at the planet center",,,,,,,
" by the solar and spacecraft vectors and Rs = 60,268 km",,,,,,,
Seq,Rev,Epoch (SCET),Date,Latitude (deg),Phase (deg),Period (days),Range (Rs)
S66,144,2011-031T02:50,Jan31,0,87,20.4,3.559
S66,145,2011-051T13:44,Feb20,0,97,20.4,4.712
S67,146,2011-079T11:45,Mar20,0,98,27.9,4.717
S67,147,2011-107T09:46,Apr17,0,98,27.9,4.711
S68,148,2011-130T20:44,May10,0,118,23.4,5.888
S68,149,2011-169T23:46,Jun18,0,119,39.1,5.884
S69,150,2011-191T16:00,Jul10,0,135,21.7,4.039
S69,151,2011-213T08:12,Aug01,0,135,21.7,4.045
S69,152,2011-235T03:58,Aug23,0,136,21.8,4.044
S70,153,2011-256T23:01,Sep13,0,129,21.8,3.231
S70,154,2011-274T16:53,Oct01,0,130,17.7,3.250
S70,155,2011-292T12:24,Oct19,0,130,17.8,3.259
S70,156,2011-310T07:58,Nov06,0,130,17.8,3.260
S71,157,2011-328T04:32,Nov24,0,130,17.9,3.255
S71,158,2011-346T02:00,Dec12,0,131,17.9,3.241
S71,159,2012-004T13:03,Jan04,2,123,23.5,4.419
S72,160,2012-028T18:30,Jan28,2,124,24.2,4.418
S72,161,2012-052T05:23,Feb21,0,117,23.5,3.231
S72,162,2012-070T02:13,Mar10,0,117,17.9,3.245
S72,163,2012-087T21:32,Mar27,0,118,17.8,3.253
S73,164,2012-105T17:03,Apr14,0,118,17.8,3.253
S73,165,2012-123T12:34,May02,0,118,17.8,3.245
S73,166,2012-141T06:26,May20,0,119,17.8,3.222
S73,167,2012-157T04:53,Jun05,8,119,16.0,3.097
S74,168,2012-181T00:27,Jun29,15,104,23.9,5.063
S74,169,2012-204T23:03,Jul22,15,104,24.0,5.062
S74,170,2012-226T01:32,Aug13,24,103,21.2,5.746
S75,171,2012-247T07:39,Sep03,24,103,21.3,5.758
S75,172,2012-268T14:59,Sep24,24,103,21.3,5.753
S75,173,2012-292T09:02,Oct18,34,92,23.9,7.869
S76,174,2012-316T07:30,Nov11,34,92,24.0,7.870
S76,175,2012-332T02:15,Nov27,33,105,15.9,6.894
S76,176,2012-345T02:16,Dec10,34,110,13.3,7.427
S76,177,2012-358T08:30,Dec23,34,110,13.3,7.424
S76,178,2013-005T15:10,Jan05,34,111,13.3,7.432
S77,179,2013-018T22:16,Jan18,34,111,13.3,7.441
S77,180,2013-032T05:32,Feb01,34,111,13.3,7.439
S77,181,2013-045T12:50,Feb14,34,111,13.3,7.426
S77,182,2013-057T04:27,Feb26,33,116,12.0,8.040
S77,183,2013-069T03:40,Mar10,33,116,12.0,8.032
S77,184,2013-081T02:46,Mar22,33,116,12.0,8.037
S78,185,2013-093T01:46,Apr03,33,116,12.0,8.025
S78,186,2013-102T12:35,Apr12,22,132,9.6,6.244
S78,187,2013-112T02:17,Apr22,22,132,9.6,6.248
S78,188,2013-121T15:59,May01,22,132,9.6,6.244
S78,189,2013-131T05:37,May11,22,132,9.6,6.241
S78,190,2013-140T19:22,May20,22,132,9.6,6.237
S78,191,2013-152T07:01,Jun01,34,117,12.0,10.238
S79,192,2013-164T05:58,Jun13,34,117,12.0,10.244
S79,193,2013-176T05:09,Jun25,34,117,12.0,10.246
S79,194,2013-188T04:09,Jul07,34,117,12.0,10.232
S79,195,2013-204T05:40,Jul23,55,80,16.0,15.370
S80,196,2013-229T15:35,Aug17,38,28,23.9,18.474
S80,197,2013-253T13:48,Sep10,37,28,23.9,18.469
S80,198,2013-286T13:40,Oct13,14,7 d,31.9,19.819
S81,199,2013-335T22:43,Dec01,-1,46,47.9,19.523
S82,200,2014-003T11:34,Jan03,-3,66,31.9,18.176
S82,201,2014-035T18:12,Feb04,-4,83,31.9,16.244
S82,202,2014-067T19:26,Mar08,-4,96,31.9,14.241
S83,203,2014-099T16:06,Apr09,-4,104,31.9,12.373
S83,204,2014-135T11:30,May15,-4,103,35.8,12.375
S84,205,2014-167T07:15,Jun16,-4,108,31.9,13.470
S84,206,2014-199T05:26,Jul18,-4,116,31.9,14.921
S85,207,2014-231T05:47,Aug19,-4,123,31.9,15.940
S85,208,2014-262T23:53,Sep19,-4,107,31.9,13.483
S86,209,2014-294T21:22,Oct21,-4,94,31.9,11.387
S86,210,2014-342T21:09,Dec08,-3,92,47.8,10.909
S87,211,2015-009T17:55,Jan09,-2,72,31.9,8.152
S87,212,2015-041T17:17,Feb10,-1,62,31.9,6.887
S88,213,2015-073T15:49,Mar14,-7,54,31.9,6.201
S88,214,2015-101T17:09,Apr11,0,45,28.0,5.582
S89,215,2015-129T18:03,May09,0,55,28.1,4.113
S89,216,2015-148T14:54,May28,0,55,18.9,4.125
S89,217,2015-167T12:44,Jun16,0,54,18.9,4.124
S89,218,2015-186T11:14,Jul05,0,54,18.9,4.112
S90,219,2015-208T05:49,Jul27,0,57,21.8,4.698
S90,220,2015-230T01:24,Aug18,0,57,21.8,4.704
S90,221,2015-251T21:41,Sep08,0,56,21.9,4.695
S91,222,2015-273T16:17,Sep30,1,69,21.8,2.899
S91,223,2015-287T14:06,Oct14,1,69,13.9,2.902
S91,224,2015-301T11:56,Oct28,1,69,13.9,2.902
S91,225,2015-315T09:30,Nov11,0,69,13.9,2.898
S91,226,2015-328T03:14,Nov24,0,66,12.7,2.532
S92,227,2015-340T20:31,Dec06,0,66,12.7,2.530
S92,228,2015-353T14:09,Dec19,0,66,12.7,2.566
S92,229,2016-001T10:39,Jan01,0,66,12.9,2.569
S92,230,2016-014T06:58,Jan14,0,66,12.8,2.566
S92,231,2016-030T04:56,Jan30,-1,73,15.9,3.487
S93,232,2016-046T02:57,Feb15,-9,77,16.0,3.801
S93,233,2016-069T23:01,Mar09,-1,93,23.9,5.949
S93,234,2016-093T21:13,Apr02,-1,92,23.9,5.978
S94,235,2016-125T16:56,May04,-2,107,31.9,8.142
S94,236,2016-157T12:06,Jun05,-3,115,31.9,9.798
S95,237,2016-181T04:56,Jun29,-4,114,23.9,10.447
S95,238,2016-205T03:36,Jul23,-4,113,24.0,10.440
S95,239,2016-220T19:27,Aug07,-4,97,15.9,9.293
S95,240,2016-232T14:26,Aug19,-3,78,12.0,7.523
S95,241,2016-244T13:16,Aug31,-3,78,12.0,7.524
S96,242,2016-256T12:28,Sep12,-3,78,12.0,7.531
S96,243,2016-268T11:36,Sep24,-3,78,12.0,7.519
S96,244,2016-278T00:39,Oct04,-2,63,9.6,5.587
S96,245,2016-287T14:20,Oct13,-2,62,9.6,5.592
S96,246,2016-297T04:00,Oct23,-2,62,9.6,5.586
S96,247,2016-306T17:29,Nov01,-2,62,9.6,5.581
S96,248,2016-316T07:05,Nov11,-2,62,9.6,5.578
S96,249,2016-324T08:44,Nov19,-1,51,8.0,3.622
S97,250,2016-332T07:59,Nov27,-1,51,8.0,3.622
S97,251,2016-339T13:37,Dec04,-9,45,7.2,2.515
S97,252,2016-346T17:54,Dec11,-9,45,7.2,2.514
S97,253,2016-353T21:57,Dec18,-9,45,7.2,2.496
S97,254,2016-361T01:59,Dec26,-9,45,7.2,2.494
S97,255,2017-002T05:54,Jan02,-9,44,7.2,2.490
S97,256,2017-009T09:47,Jan09,-9,44,7.2,2.488
S97,257,2017-016T13:39,Jan16,-9,44,7.2,2.489
S97,258,2017-023T17:32,Jan23,-9,44,7.2,2.489
S98,259,2017-030T21:29,Jan30,-9,43,7.2,2.491
S98,260,2017-038T01:52,Feb07,-9,43,7.2,2.510
S98,261,2017-045T06:23,Feb14,-9,43,7.2,2.510
S98,262,2017-052T10:28,Feb21,-9,43,7.2,2.475
S98,263,2017-059T14:35,Feb28,-9,42,7.2,2.474
S98,264,2017-066T18:34,Mar07,-9,42,7.2,2.464
S98,265,2017-073T22:29,Mar14,-9,42,7.2,2.462
S98,266,2017-081T02:20,Mar22,-9,42,7.2,2.461
S98,267,2017-088T06:11,Mar29,-9,42,7.2,2.460
